Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-01-25,1.0,1.0,0.9399999976158142,0.9399999976158142,16500,0,0,,,,,,,,,,0.8899999856948853
2017-01-26,0.949999988079071,0.949999988079071,0.9399999976158142,0.9399999976158142,10300,0,0,0.0,1.0,,,,,,,,0.8899999856948853
2017-01-27,0.9300000071525574,0.949999988079071,0.8700000047683716,0.8999999761581421,108300,0,0,-0.042553214424603025,0.957446785575397,,,,,,,,0.8799999952316284
2017-01-30,0.9300000071525574,0.9900000095367432,0.9300000071525574,0.9399999976158142,60900,0,0,0.04444446946367875,1.0,,,,,,,,0.8899999856948853
2017-01-31,1.0,1.0,0.8999999761581421,0.9100000262260436,56500,0,0,-0.031914863261554904,0.9680851367384451,,,,,,,,0.8700000047683716
2017-02-01,0.8999999761581421,0.949999988079071,0.8999999761581421,0.9200000166893004,23100,0,0,0.010989000192372256,0.9787234244922965,,,,,,,,0.8700000047683716
2017-02-02,0.949999988079071,0.949999988079071,0.8999999761581421,0.949999988079071,14500,0,0,0.03260866396255957,1.0106382877538513,,,,,,,,0.8999999761581421
2017-02-03,0.9399999976158142,0.949999988079071,0.8999999761581421,0.9100000262260436,73100,0,0,-0.04210522353153767,0.968085136738445,,,,,,,,0.8899999856948853
2017-02-06,0.9100000262260436,0.9200000166893004,0.8899999856948853,0.9100000262260436,14600,0,0,0.0,0.968085136738445,,,,0.9350000023841858,,,,0.8799999952316284
2017-02-07,0.9200000166893004,0.9200000166893004,0.8999999761581421,0.9100000262260436,57200,0,0,0.0,0.968085136738445,,,,0.9350000023841858,,,,0.8999999761581421
2017-02-08,0.9100000262260436,0.9200000166893004,0.8999999761581421,0.9100000262260436,5400,0,0,0.0,0.968085136738445,,,,0.9350000023841858,,,,0.8799999952316284
2017-02-09,0.9100000262260436,0.959999978542328,0.8399999737739563,0.8899999856948853,168100,0,0,-0.02197806588435236,0.9468084978215452,,,,0.9199999868869781,,,,0.8399999737739563
2017-02-10,0.8899999856948853,0.8999999761581421,0.8899999856948853,0.8999999761581421,14700,0,0,0.01123594452133525,0.9574467855753969,,,,0.9199999868869781,,,,0.8899999856948853
2017-02-13,0.8700000047683716,0.8899999856948853,0.8700000047683716,0.8899999856948853,19400,0,0,-0.011111100809073515,0.9468084978215452,,,,0.8999999761581421,,,,0.8799999952316284
2017-02-14,0.8899999856948853,0.8999999761581421,0.8899999856948853,0.8899999856948853,1300,0,0,0.0,0.9468084978215452,,,,0.8999999761581421,,,,0.8799999952316284
2017-02-15,0.8600000143051147,0.8999999761581421,0.8600000143051147,0.8700000047683716,23500,0,0,-0.02247188904267039,0.925531922313842,,,,0.8999999761581421,,,,0.8799999952316284
2017-02-16,0.8600000143051147,0.9399999976158142,0.8600000143051147,0.8799999952316284,1300,0,0,0.011494241848790887,0.9361702100676936,,,,0.8999999761581421,,,,0.8999999761581421
2017-02-17,0.9300000071525574,0.9300000071525574,0.8700000047683716,0.8700000047683716,32300,0,0,-0.01136362558800319,0.9255319223138421,,,,0.8999999761581421,,,,1.0299999713897705
2017-02-21,0.9100000262260436,0.9300000071525574,0.8899999856948853,0.8899999856948853,26300,0,0,0.022988483697581552,0.9468084978215452,,,,0.8999999761581421,,,,1.0700000524520874
2017-02-22,0.8799999952316284,0.8999999761581421,0.8799999952316284,0.8799999952316284,12300,0,0,-0.01123594452133514,0.9361702100676936,0.9050000011920929,0.9515126642157906,0.8584873381683952,0.8999999761581421,,,,1.0700000524520874
2017-02-23,0.8700000047683716,0.8999999761581421,0.8600000143051147,0.8999999761581421,15600,0,0,0.02272725117600638,0.9574467855753968,0.9030000001192093,0.9466420140406401,0.8593579861977786,0.9000000059604645,,,,1.059999942779541
2017-02-24,0.8600000143051147,0.8600000143051147,0.8600000143051147,0.8600000143051147,700,0,0,-0.04444440323629384,0.9148936345599905,0.8990000009536743,0.94301108492908,0.8549889169782685,0.9000000059604645,,,,1.0499999523162842
2017-02-27,0.8999999761581421,0.949999988079071,0.8600000143051147,0.8899999856948853,33800,0,0,0.03488368708227374,0.9468084978215453,0.8985000014305115,0.9426830274779029,0.85431697538312,0.9050000011920929,,,,1.059999942779541
2017-02-28,0.9200000166893004,0.9200000166893004,0.8700000047683716,0.8899999856948853,16700,0,0,0.0,0.9468084978215453,0.8960000008344651,0.9359155815137893,0.8560844201551409,0.9050000011920929,,,,1.0499999523162842
2017-03-01,0.8600000143051147,0.9200000166893004,0.8600000143051147,0.8899999856948853,38500,0,0,0.0,0.9468084978215453,0.8949999988079071,0.9344570558737569,0.8555429417420574,0.9050000011920929,,,,1.100000023841858
2017-03-02,0.8799999952316284,0.8999999761581421,0.8799999952316284,0.8799999952316284,8200,0,0,-0.01123594452133514,0.9361702100676937,0.8929999977350235,0.9312074345568815,0.8547925609131655,0.9050000011920929,0.9199999868869781,,,1.0800000429153442
2017-03-03,0.8799999952316284,0.8899999856948853,0.8799999952316284,0.8899999856948853,3100,0,0,0.01136362558800319,0.9468084978215453,0.8899999976158142,0.917718591786084,0.8622814034455444,0.9050000011920929,0.9199999868869781,,,1.0299999713897705
2017-03-06,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8899999856948853,8300,0,0,0.0,0.9468084978215453,0.8889999955892562,0.9151419281125254,0.8628580630659871,0.9050000011920929,0.9199999868869781,,,1.059999942779541
2017-03-07,0.8799999952316284,0.8899999856948853,0.8799999952316284,0.8799999952316284,25000,0,0,-0.01123594452133514,0.9361702100676937,0.8874999940395355,0.9120257686765141,0.8629742194025569,0.9050000011920929,0.9199999868869781,,,1.0499999523162842
2017-03-08,0.9300000071525574,0.9300000071525574,0.8799999952316284,0.8899999856948853,34000,0,0,0.01136362558800319,0.9468084978215453,0.8864999920129776,0.9087794618799228,0.8642205221460324,0.9050000011920929,0.9199999868869781,,,1.0399999618530271
2017-03-09,0.9100000262260436,0.9100000262260436,0.8700000047683716,0.8700000047683716,11600,0,0,-0.02247188904267039,0.9255319223138421,0.884499990940094,0.9050811993458412,0.8639187825343468,0.9050000011920929,0.8999999761581421,,,1.0299999713897705
2017-03-10,0.9200000166893004,0.9200000166893004,0.8700000047683716,0.8700000047683716,3600,0,0,0.0,0.9255319223138421,0.8834999918937683,0.9048526590228875,0.8621473247646491,0.8950000107288361,0.8999999761581421,,,1.0399999618530271
2017-03-13,0.9100000262260436,0.9100000262260436,0.8799999952316284,0.8999999761581421,1200,0,0,0.03448272554637244,0.9574467855753968,0.8834999918937683,0.9048526590228875,0.8621473247646491,0.8950000107288361,0.8999999761581421,,,1.0399999618530271
2017-03-14,0.8700000047683716,0.9100000262260436,0.8500000238418579,0.8899999856948853,4500,0,0,-0.011111100809073515,0.9468084978215451,0.8834999918937683,0.9048526590228875,0.8621473247646491,0.8900000154972076,0.8999999761581421,,,1.090000033378601
2017-03-15,0.9100000262260436,0.9200000166893004,0.8799999952316284,0.8799999952316284,2400,0,0,-0.01123594452133514,0.9361702100676935,0.8829999923706054,0.9041863034097084,0.8618136813315025,0.8900000154972076,0.8999999761581421,,,1.0499999523162842
2017-03-16,0.8600000143051147,0.8999999761581421,0.8600000143051147,0.8999999761581421,8400,0,0,0.02272725117600638,0.9574467855753966,0.884499990940094,0.9060412062504825,0.8629587756297056,0.8900000154972076,0.8999999761581421,,,1.0700000524520874
2017-03-17,0.8700000047683716,0.8899999856948853,0.8600000143051147,0.8799999952316284,23400,0,0,-0.02222220161814692,0.9361702100676935,0.884499990940094,0.9060412062504825,0.8629587756297056,0.8900000154972076,0.8999999761581421,,,1.0499999523162842
2017-03-20,0.8600000143051147,0.8600000143051147,0.8299999833106995,0.8399999737739563,14000,0,0,-0.045454570084564105,0.8936169956430905,0.8829999893903733,0.9115096574055902,0.8544903213751563,0.8799999952316284,0.8899999856948853,,,1.0800000429153442
2017-03-21,0.8500000238418579,0.8899999856948853,0.8500000238418579,0.8899999856948853,4300,0,0,0.05952382557381353,0.9468084978215451,0.8829999893903733,0.9115096574055902,0.8544903213751563,0.875,0.8899999856948853,,,1.0399999618530271
2017-03-22,0.8500000238418579,0.8799999952316284,0.8500000238418579,0.8799999952316284,5600,0,0,-0.01123594452133514,0.9361702100676935,0.8829999893903733,0.9115096574055902,0.8544903213751563,0.875,0.8899999856948853,,,1.0299999713897705
2017-03-23,0.8600000143051147,0.8799999952316284,0.8600000143051147,0.8799999952316284,5700,0,0,0.0,0.9361702100676935,0.8819999903440475,0.909425241843778,0.854574738844317,0.875,0.8899999856948853,,,1.0399999618530271
2017-03-24,0.8799999952316284,0.8799999952316284,0.8799999952316284,0.8799999952316284,600,0,0,0.0,0.9361702100676935,0.8829999893903733,0.908515668881757,0.8574843098989895,0.875,0.8899999856948853,,,1.0499999523162842
2017-03-27,0.9300000071525574,0.9300000071525574,0.8600000143051147,0.8999999761581421,56500,0,0,0.02272725117600638,0.9574467855753966,0.8834999889135361,0.9099303568195548,0.8570696210075174,0.8799999952316284,0.8899999856948853,,,1.0399999618530271
2017-03-28,0.9300000071525574,1.1699999570846558,0.9300000071525574,1.0299999713897705,474600,0,0,0.14444444297272474,1.0957446531938606,0.8904999881982804,0.9600076582827487,0.820992318113812,0.9999999701976776,0.9999999701976776,,,1.0399999618530271
2017-03-29,1.0,1.149999976158142,1.0,1.0700000524520874,141400,0,0,0.03883503123630683,1.1382979310276604,0.8994999915361405,1.0044681701226725,0.7945318129496085,0.9999999701976776,0.9999999701976776,,,1.0800000429153442
2017-03-30,1.1100000143051147,1.1100000143051147,1.0399999618530271,1.0700000524520874,31200,0,0,0.0,1.1382979310276604,0.9089999943971634,1.0372738675165367,0.7807261212777901,0.9999999701976776,0.9999999701976776,,,1.0499999523162842
2017-03-31,1.0499999523162842,1.059999942779541,1.0499999523162842,1.059999942779541,25200,0,0,-0.009345896432088385,1.1276595164554155,0.9174999922513962,1.0613719890188655,0.7736279954839269,1.0099999904632568,0.9999999701976776,,,1.0700000524520874
2017-04-03,1.100000023841858,1.100000023841858,1.0399999618530271,1.0499999523162842,44000,0,0,-0.00943395377648304,1.117021228701564,0.9254999905824661,1.0798927688487305,0.7711072123162016,1.0099999904632568,0.9999999701976776,,,1.090000033378601
2017-04-04,1.090000033378601,1.100000023841858,1.0499999523162842,1.059999942779541,25900,0,0,0.00952380087370197,1.1276595164554155,0.9344999879598618,1.0980501517577403,0.7709498241619832,1.0149999856948853,0.9999999701976776,,,1.1200000047683716
2017-04-05,1.059999942779541,1.090000033378601,1.0299999713897705,1.0499999523162842,13900,0,0,-0.00943395377648304,1.117021228701564,0.9424999862909317,1.1121664955834618,0.7728334769984015,1.0149999856948853,0.9999999701976776,,,1.149999976158142
2017-04-06,1.0399999618530271,1.100000023841858,1.0399999618530271,1.100000023841858,14500,0,0,0.04761911790117157,1.1702127942892153,0.953999987244606,1.1334567794614623,0.7745431950277497,1.0149999856948853,0.9999999701976776,,,1.159999966621399
2017-04-07,1.090000033378601,1.090000033378601,1.0299999713897705,1.0800000429153442,13100,0,0,-0.018181800448205276,1.1489362187815122,0.9644999891519547,1.147645360130803,0.7813546181731064,1.0499999821186066,0.9999999701976776,0.9124999940395355,,1.3899999856948853
2017-04-10,1.059999942779541,1.059999942779541,1.0199999809265137,1.0299999713897705,19600,0,0,-0.046296360684027316,1.0957446531938608,0.9709999889135361,1.153750257423476,0.7882497204035963,1.074999988079071,0.9999999701976776,0.9124999940395355,,1.3700000047683716
2017-04-11,1.0299999713897705,1.090000033378601,1.0299999713897705,1.059999942779541,10900,0,0,0.029126186624347072,1.1276595164554157,0.9794999867677688,1.1622032240596298,0.7967967494759078,1.0649999976158142,0.9999999701976776,0.9124999940395355,,1.4299999475479126
2017-04-12,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,4200,0,0,-0.00943395377648304,1.1170212287015642,0.9879999846220017,1.1671410310856212,0.8088589381583821,1.0600000023841858,0.9999999701976776,0.9124999940395355,,1.4800000190734863
2017-04-13,1.0700000524520874,1.0700000524520874,1.0399999618530271,1.0399999618530271,600,0,0,-0.009523800873702193,1.1063829409477124,0.9949999839067459,1.17071092026822,0.8192890475452719,1.0600000023841858,0.9999999701976776,0.9124999940395355,,1.5299999713897705
2017-04-17,1.0499999523162842,1.0499999523162842,1.0199999809265137,1.0299999713897705,79100,0,0,-0.009615375798128989,1.095744653193861,1.002499982714653,1.1704898536495425,0.8345101117797635,1.0600000023841858,0.9999999701976776,0.9024999886751175,,1.4700000286102295
2017-04-18,1.0399999618530271,1.090000033378601,1.0399999618530271,1.0399999618530271,18800,0,0,0.009708728874782135,1.1063829409477124,1.0124999821186065,1.1633690647419044,0.8616308994953086,1.0600000023841858,0.9999999701976776,0.8974999934434891,,1.4299999475479126
2017-04-19,1.0700000524520874,1.0700000524520874,1.0399999618530271,1.0399999618530271,2600,0,0,0.0,1.1063829409477124,1.0199999809265137,1.1601884860109308,0.8798114758420964,1.0600000023841858,0.9999999701976776,0.8974999934434891,,1.4800000190734863
2017-04-20,1.0700000524520874,1.100000023841858,1.059999942779541,1.090000033378601,22500,0,0,0.04807699361496698,1.159574506535364,1.0304999828338623,1.1579158611135885,0.9030841045541363,1.0600000023841858,0.9999999701976776,0.8949999958276749,,1.5
2017-04-21,1.0800000429153442,1.0800000429153442,1.0499999523162842,1.0499999523162842,22600,0,0,-0.03669732095175382,1.1170212287015642,1.0389999806880952,1.1459573709458777,0.9320425904303127,1.0600000023841858,0.9999999701976776,0.8949999958276749,,1.5
2017-04-24,1.0800000429153442,1.100000023841858,1.0399999618530271,1.0700000524520874,6000,0,0,0.01904771528006588,1.1382979310276609,1.048499983549118,1.126970901382723,0.970029065715513,1.0600000023841858,0.9999999701976776,0.8949999958276749,,1.4700000286102295
2017-04-25,1.0399999618530271,1.0700000524520874,1.0399999618530271,1.0499999523162842,9900,0,0,-0.018691681453631315,1.1170212287015642,1.0559999823570252,1.0943658982531768,1.0176340664608736,1.0600000023841858,0.9999999701976776,0.8949999958276749,,1.559999942779541
