Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-01-25,30.5,30.5,29.5,29.5,44030,0,0.0,,,,,,,,,,17.0
2017-01-26,29.5,31.0,29.5,29.5,25660,0,0.0,0.0,1.0,,,,,,,,15.5
2017-01-27,30.0,30.0,29.5,30.0,30110,0,0.0,0.016949152542372836,1.0169491525423728,,,,,,,,16.0
2017-01-30,30.0,30.5,29.5,30.0,69000,0,0.0,0.0,1.0169491525423728,,,,,,,,15.5
2017-01-31,30.0,30.5,29.5,30.5,58950,0,0.0,0.016666666666666607,1.0338983050847457,,,,,,,,14.5
2017-02-01,30.5,30.5,29.5,30.0,47860,0,0.0,-0.016393442622950838,1.0169491525423728,,,,,,,,14.0
2017-02-02,29.5,30.5,27.5,29.5,83940,0,0.0,-0.01666666666666672,0.9999999999999999,,,,,,,,15.0
2017-02-03,29.5,29.799999237060547,28.5,29.5,64260,0,0.0,0.0,0.9999999999999999,,,,,,,,14.0
2017-02-06,29.5,30.0,24.5,26.0,162930,0,0.0,-0.11864406779661019,0.8813559322033897,,,,27.75,,,,14.5
2017-02-07,26.0,26.100000381469727,23.5,24.0,146120,0,0.0,-0.07692307692307687,0.8135593220338982,,,,27.25,,,,14.5
2017-02-08,23.5,24.0,22.0,22.5,105670,0,0.0,-0.0625,0.7627118644067796,,,,26.25,,,,14.5
2017-02-09,22.0,27.0,22.0,25.5,114500,0,0.0,0.1333333333333333,0.8644067796610169,,,,26.25,,,,14.0
2017-02-10,25.5,26.5,25.5,26.0,28410,0,0.0,0.019607843137254832,0.8813559322033897,,,,26.25,,,,15.5
2017-02-13,26.5,27.0,25.0,25.0,43400,0,0.0,-0.038461538461538436,0.8474576271186439,,,,26.25,,,,19.0
2017-02-14,24.5,25.299999237060547,19.5,21.0,258600,0,0.0,-0.16000000000000003,0.7118644067796609,,,,25.0,,,,18.5
2017-02-15,22.5,22.5,20.0,20.5,48350,0,0.0,-0.023809523809523836,0.694915254237288,,,,24.75,,,,16.5
2017-02-16,20.5,21.5,20.0,20.5,43490,0,0.0,0.0,0.694915254237288,,,,24.75,,,,17.0
2017-02-17,20.5,21.0,20.0,21.0,27030,0,0.0,0.024390243902439046,0.7118644067796609,,,,23.25,,,,16.5
2017-02-21,21.5,21.5,20.5,21.0,54240,0,0.0,0.0,0.7118644067796609,,,,23.25,,,,16.5
2017-02-22,21.0,21.5,20.0,21.0,47660,0,0.0,0.0,0.7118644067796609,25.625,33.31445929246825,17.935540707531754,23.25,,,,15.0
2017-02-23,21.0,21.5,18.5,21.0,126610,0,0.0,0.0,0.7118644067796609,25.2,32.9256930195018,17.4743069804982,22.75,,,,15.5
2017-02-24,20.5,21.0,19.5,19.5,33830,0,0.0,-0.0714285714285714,0.6610169491525423,24.7,32.54257852333891,16.857421476661084,22.75,,,,15.0
2017-02-27,19.5,20.5,19.0,19.5,33630,0,0.0,0.0,0.6610169491525423,24.175,31.932523411094817,16.417476588905185,21.899999618530273,,,,14.0
2017-02-28,19.5,20.5,17.0,17.5,63420,0,0.0,-0.10256410256410253,0.5932203389830508,23.55,31.34408925843302,15.755910741566982,19.75,,,,13.5
2017-03-01,18.0,18.0,17.200000762939453,18.0,7720,0,0.0,0.02857142857142847,0.6101694915254237,22.925,30.383545857993326,15.466454142006677,19.25,,,,13.5
2017-03-02,17.5,18.0,16.0,17.5,128810,0,0.0,-0.02777777777777779,0.5932203389830508,22.3,29.362587568157625,15.237412431842376,18.75,23.5,,,13.5
2017-03-03,17.5,18.0,17.0,17.0,14620,0,0.0,-0.02857142857142858,0.576271186440678,21.675,28.27034213629109,15.079657863708912,18.75,23.5,,,13.0
2017-03-06,16.5,17.0,15.0,15.5,58680,0,0.0,-0.08823529411764708,0.5254237288135594,20.975,27.045132141109136,14.904867858890867,18.25,22.75,,,13.5
2017-03-07,15.5,16.5,15.0,16.0,63310,0,0.0,0.032258064516129004,0.5423728813559322,20.475,26.452830886305083,14.49716911369492,18.25,22.75,,,13.0
2017-03-08,16.0,16.299999237060547,15.0,15.5,46940,0,0.0,-0.03125,0.5254237288135594,20.05,26.173400843872358,13.926599156127644,18.0,22.75,,,13.0
2017-03-09,15.0,16.0,13.0,14.5,88850,0,0.0,-0.06451612903225812,0.4915254237288136,19.65,26.12018782774624,13.179812172253758,16.75,21.75,,,10.5
2017-03-10,14.5,14.5,13.5,14.0,24250,0,0.0,-0.03448275862068961,0.47457627118644075,19.075,25.404400986041658,12.745599013958342,16.75,21.75,,,10.5
2017-03-13,14.0,15.5,13.800000190734863,15.0,53760,0,0.0,0.0714285714285714,0.5084745762711865,18.525,24.225827179130725,12.82417282086927,15.5,21.5,,,10.0
2017-03-14,15.0,16.0,13.5,14.0,53600,0,0.0,-0.06666666666666665,0.47457627118644075,17.975,23.165300569331205,12.784699430668798,15.5,21.5,,,11.5
2017-03-15,14.0,14.5,14.0,14.5,14330,0,0.0,0.03571428571428581,0.4915254237288137,17.65,22.856102087682128,12.443897912317869,15.5,20.0,,,11.5
2017-03-16,14.5,14.5,13.0,14.5,42600,0,0.0,0.0,0.4915254237288137,17.35,22.55610208768213,12.143897912317872,15.0,20.0,,,12.0
2017-03-17,14.5,14.5,14.0,14.5,37900,0,0.0,0.0,0.4915254237288137,17.05,22.185719700500123,11.914280299499877,14.75,20.0,,,12.5
2017-03-20,14.0,14.5,13.0,14.0,34480,0,0.0,-0.03448275862068961,0.4745762711864408,16.7,21.660489789059973,11.739510210940027,14.649999618530273,20.0,,,13.5
2017-03-21,14.0,20.0,13.5,15.5,234190,0,0.0,0.1071428571428572,0.5254237288135595,16.425,20.9915432048876,11.858456795112405,16.5,20.0,,,13.5
2017-03-22,15.5,21.0,13.800000190734863,19.0,155570,0,0.0,0.22580645161290325,0.6440677966101697,16.325,20.558387470298936,12.091612529701063,17.0,19.149999618530273,,,10.0
2017-03-23,18.399999618530277,21.0,17.5,18.5,120940,0,0.0,-0.02631578947368418,0.6271186440677968,16.2,19.994191682864166,12.405808317135834,17.0,17.75,,,9.5
2017-03-24,18.0,18.0,15.5,16.5,65210,0,0.0,-0.10810810810810811,0.5593220338983053,16.05,19.531559844002146,12.568440155997855,17.0,17.25,,,3.799999952316284
2017-03-27,16.0,17.0,16.0,17.0,30090,0,0.0,0.030303030303030276,0.5762711864406781,15.925,19.060919406859114,12.789080593140886,17.0,17.25,,,4.599999904632568
